filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Hybrid Recommender,rec.recommender.ranking.topn=10    rec.hybrid.lambda=0.1    rec.recommender.isranking=true,16:58:52 AEDT 04-10-2017,16:59:05 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:04 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09999999999999999    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:09 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:12 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.02    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:15 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.03    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:18 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.04    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:21 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.05    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:24 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.060000000000000005    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:27 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.07    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:30 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.08    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:33 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:37 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09999999999999999    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:40 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:45 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.02    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:50 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.03    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:54 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.04    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:59 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.05    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:15:04 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.060000000000000005    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:15:09 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.07    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:15:14 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.08    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:15:19 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:15:24 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09999999999999999    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:15:29 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Ao BPR Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.distribution.parameter =500    rec.recommender.ranking.topn=10    rec.item.regularization=0.01    rec.recommender.isranking=true    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:04:56 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,GBPR Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.gpbr.gsize=2    rec.gpbr.rho=1.5    rec.recommender.ranking.topn=10    rec.item.regularization=0.01    rec.recommender.isranking=true    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:05:17 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Aspect Model Recommender,rec.pgm.burnin=10    rec.recommender.ranking.topn=10    data.splitter.cv.number=5    rec.recommender.isranking=true    rec.pgm.samplelag=10    rec.iterator.maximum=20    rec.topic.number=10    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:05:18 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Aspect Model Recommender,rec.iteration.learnrate=0.01    rec.iterator.maximum=100    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:05:34 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Association Rule Recommender,rec.recommender.ranking.topn=10    rec.recommender.isranking=true    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:05:40 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,ASVDPlus Plus Recommender,rec.iteration.learnrate=0.01    rec.iterator.maximum=20    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:05:45 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BHFree Recommender,rec.bhfree.alpha=0.01    rec.pgm.burnin=10    rec.bhfree.beta=0.01    rec.recommender.ranking.topn=10    rec.recommender.isranking=true    rec.bhfree.gamma=0.01    rec.pgm.samplelag=10    rec.bhfree.sigma=0.01    rec.bhfree.user.topic.number=10    rec.bhfree.item.topic.number=10    rec.iterator.maximum=100    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:05:58 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:05:58 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPMF Recommender,rec.recommender.item.wishart.scale=1.0    rec.factor.number=20    rec.recommender.rating.sigma=2.0    # rec.learnrate.decay=1.0    rec.recommender.item.beta=1.0    rec.iterator.maximum=150    # rec.learnrate.bolddriver=false    rec.recommender.user.beta=1.0    rec.recommender.user.wishart.scale=1.0    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:06:17 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:06:23 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPR Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.recommender.ranking.topn=10    rec.learnRate.bolddriver=false    rec.item.regularization=0.01    rec.recommender.isranking=true    rec.iterator.maximum=100    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.learnRate.decay=1.0    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:06:30 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BUCM Recommender,rec.pgm.burnin=10    rec.bucm.alpha=0.01    rec.recommender.ranking.topn=10    rec.recommender.isranking=true    rec.pgm.samplelag=10    rec.pgm.topic.number=10    rec.iterator.maximum=100    rec.bucm.gamma=0.01    rec.bucm.beta=0.01    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:06:35 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,CLIMF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.001    rec.recommender.ranking.topn=10    rec.item.regularization=0.01    rec.recommender.isranking=true    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:12:39 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Constant Guess Recommender,rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:12:39 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Diversity Accuracy Recommender,test=true,20:03:38 AEDT 06-10-2017,20:12:39 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,EALS Recommender,rec.factor.number=32    rec.recommender.ranking.topn=10    rec.eals.wrmf.judge=1    rec.eals.overall=128    rec.item.regularization=0.01    rec.eals.ratio=0.4    rec.recommender.isranking=true    rec.iterator.maximum=20    rec.user.regularization=0.01    rec.wrmf.weight.coefficient=1.0    rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:12:41 AEDT 06-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,External Recommender,rec.recommender.verbose=true,20:03:38 AEDT 06-10-2017,20:12:41 AEDT 06-10-2017,
